timestamp,action,view,value
2025-03-07 14:01:46.149,Window_Level,Red1,"(247, 136)"
2025-03-07 14:01:46.275,Window_Level,Red1,"(249, 128)"
2025-03-07 14:01:46.308,Window_Level,Red1,"(252, 114)"
2025-03-07 14:01:46.384,Window_Level,Red1,"(254, 107)"
2025-03-07 14:01:46.419,Window_Level,Red1,"(256, 99)"
2025-03-07 14:01:46.460,Window_Level,Red1,"(259, 91)"
2025-03-07 14:01:46.468,Window_Level,Red1,"(260, 90)"
2025-03-07 14:01:46.499,Window_Level,Red1,"(263, 83)"
2025-03-07 14:01:46.571,Window_Level,Red1,"(268, 72)"
2025-03-07 14:01:46.603,Window_Level,Red1,"(269, 69)"
2025-03-07 14:01:46.809,Window_Level,Red1,"(270, 68)"
2025-03-07 14:01:46.813,End Window_Level,Red1,
2025-03-11 10:31:30.789,Start Pan,Yellow2,
2025-03-11 10:31:30.795,Pan,Yellow2,"(215, 135)"
2025-03-11 10:31:30.824,Pan,Yellow2,"(214, 138)"
2025-03-11 10:31:30.922,Pan,Yellow2,"(210, 150)"
2025-03-11 10:31:30.928,Pan,Yellow2,"(210, 151)"
2025-03-11 10:31:30.955,Pan,Yellow2,"(210, 152)"
2025-03-11 10:31:31.079,Pan,Yellow2,"(210, 153)"
2025-03-11 10:31:31.081,End Pan,Yellow2,
2025-03-11 10:31:31.976,Start Pan,Yellow2,
2025-03-11 10:31:31.982,Pan,Yellow2,"(218, 183)"
2025-03-11 10:31:32.001,Pan,Yellow2,"(226, 170)"
2025-03-11 10:31:32.105,Pan,Yellow2,"(228, 164)"
2025-03-11 10:31:32.123,Pan,Yellow2,"(229, 163)"
2025-03-11 10:31:32.369,Pan,Yellow2,"(230, 161)"
2025-03-11 10:31:32.524,Pan,Yellow2,"(231, 158)"
2025-03-11 10:31:32.526,End Pan,Yellow2,
2025-03-11 10:31:33.030,Start Zoom,Yellow2,
2025-03-11 10:31:33.042,Zoom,Yellow2,"(228, 151)"
2025-03-11 10:31:33.195,Zoom,Yellow2,"(220, 174)"
2025-03-11 10:31:33.228,Zoom,Yellow2,"(219, 181)"
2025-03-11 10:31:33.277,Zoom,Yellow2,"(217, 194)"
2025-03-11 10:31:33.402,Zoom,Yellow2,"(216, 202)"
2025-03-11 10:31:33.434,Zoom,Yellow2,"(216, 204)"
2025-03-11 10:31:33.536,Zoom,Yellow2,"(216, 208)"
2025-03-11 10:31:33.567,Zoom,Yellow2,"(216, 213)"
2025-03-11 10:31:33.656,Zoom,Yellow2,"(215, 213)"
2025-03-11 10:31:33.758,Zoom,Yellow2,"(218, 198)"
2025-03-11 10:31:33.884,Zoom,Yellow2,"(222, 172)"
2025-03-11 10:31:33.916,Zoom,Yellow2,"(223, 157)"
2025-03-11 10:31:34.018,Zoom,Yellow2,"(224, 141)"
2025-03-11 10:31:34.050,Zoom,Yellow2,"(225, 125)"
2025-03-11 10:31:34.106,Zoom,Yellow2,"(226, 121)"
2025-03-11 10:31:34.138,Zoom,Yellow2,"(227, 111)"
2025-03-11 10:31:34.233,Zoom,Yellow2,"(227, 103)"
2025-03-11 10:31:34.264,Zoom,Yellow2,"(228, 97)"
2025-03-11 10:31:34.330,Zoom,Yellow2,"(228, 95)"
2025-03-11 10:31:34.362,Zoom,Yellow2,"(230, 84)"
2025-03-11 10:31:34.451,Zoom,Yellow2,"(231, 82)"
2025-03-11 10:31:34.482,Zoom,Yellow2,"(231, 76)"
2025-03-11 10:31:34.650,Zoom,Yellow2,"(232, 74)"
2025-03-11 10:31:34.783,Zoom,Yellow2,"(230, 81)"
2025-03-11 10:31:34.880,Zoom,Yellow2,"(230, 85)"
2025-03-11 10:31:34.904,Zoom,Yellow2,"(230, 88)"
2025-03-11 10:31:34.939,Zoom,Yellow2,"(230, 99)"
2025-03-11 10:31:34.997,Zoom,Yellow2,"(230, 101)"
2025-03-11 10:31:35.028,Zoom,Yellow2,"(230, 107)"
2025-03-11 10:31:35.158,Zoom,Yellow2,"(229, 108)"
2025-03-11 10:31:35.183,Zoom,Yellow2,"(229, 109)"
2025-03-11 10:31:35.509,End Zoom,Yellow2,
2025-03-11 10:31:36.126,Start Window_Level,Yellow2,
2025-03-11 10:31:36.128,Window_Level,Yellow2,"(225, 126)"
2025-03-11 10:31:36.131,Window_Level,Yellow2,"(221, 125)"
2025-03-11 10:31:36.229,Window_Level,Yellow2,"(214, 123)"
2025-03-11 10:31:36.232,Window_Level,Yellow2,"(208, 122)"
2025-03-11 10:31:36.341,Window_Level,Yellow2,"(193, 122)"
2025-03-11 10:31:36.344,Window_Level,Yellow2,"(171, 124)"
2025-03-11 10:31:36.451,Window_Level,Yellow2,"(160, 124)"
2025-03-11 10:31:36.453,Window_Level,Yellow2,"(147, 124)"
2025-03-11 10:31:36.559,Window_Level,Yellow2,"(141, 124)"
2025-03-11 10:31:36.561,Window_Level,Yellow2,"(125, 124)"
2025-03-11 10:31:36.663,Window_Level,Yellow2,"(115, 124)"
2025-03-11 10:31:36.666,Window_Level,Yellow2,"(102, 124)"
2025-03-11 10:31:36.776,Window_Level,Yellow2,"(85, 124)"
2025-03-11 10:31:36.779,Window_Level,Yellow2,"(76, 123)"
2025-03-11 10:31:36.962,Window_Level,Yellow2,"(65, 122)"
2025-03-11 10:31:36.965,Window_Level,Yellow2,"(58, 121)"
2025-03-11 10:31:37.071,Window_Level,Yellow2,"(122, 128)"
2025-03-11 10:31:37.074,Window_Level,Yellow2,"(218, 152)"
2025-03-11 10:31:37.184,Window_Level,Yellow2,"(240, 165)"
2025-03-11 10:31:37.187,Window_Level,Yellow2,"(246, 182)"
2025-03-11 10:31:37.275,Window_Level,Yellow2,"(248, 186)"
2025-03-11 10:31:37.277,End Window_Level,Yellow2,
2025-03-11 10:31:37.664,Start Window_Level,Yellow2,
2025-03-11 10:31:37.665,Window_Level,Yellow2,"(247, 185)"
2025-03-11 10:31:37.787,Window_Level,Yellow2,"(251, 172)"
2025-03-11 10:31:37.790,Window_Level,Yellow2,"(251, 170)"
2025-03-11 10:31:37.793,Window_Level,Yellow2,"(253, 164)"
2025-03-11 10:31:37.883,Window_Level,Yellow2,"(256, 154)"
2025-03-11 10:31:37.886,Window_Level,Yellow2,"(256, 152)"
2025-03-11 10:31:37.888,End Window_Level,Yellow2,
2025-03-11 10:31:38.402,Start Scroll,Yellow2,
2025-03-11 10:31:38.409,Scroll,Yellow2,"(252, 160)"
2025-03-11 10:31:38.438,Scroll,Yellow2,"(252, 158)"
2025-03-11 10:31:38.611,Scroll,Yellow2,"(252, 152)"
2025-03-11 10:31:38.619,Scroll,Yellow2,"(252, 149)"
2025-03-11 10:31:38.648,Scroll,Yellow2,"(254, 138)"
2025-03-11 10:31:38.802,Scroll,Yellow2,"(255, 132)"
2025-03-11 10:31:38.810,Scroll,Yellow2,"(255, 130)"
2025-03-11 10:31:38.838,Scroll,Yellow2,"(262, 106)"
2025-03-11 10:31:38.966,Scroll,Yellow2,"(263, 104)"
2025-03-11 10:31:38.974,Scroll,Yellow2,"(263, 102)"
2025-03-11 10:31:39.002,Scroll,Yellow2,"(265, 95)"
2025-03-11 10:31:39.177,Scroll,Yellow2,"(263, 96)"
2025-03-11 10:31:39.291,Scroll,Yellow2,"(258, 107)"
2025-03-11 10:31:39.319,Scroll,Yellow2,"(257, 111)"
2025-03-11 10:31:39.409,Scroll,Yellow2,"(256, 114)"
2025-03-11 10:31:39.437,Scroll,Yellow2,"(253, 126)"
2025-03-11 10:31:39.529,Scroll,Yellow2,"(252, 128)"
2025-03-11 10:31:39.557,Scroll,Yellow2,"(249, 138)"
2025-03-11 10:31:39.651,Scroll,Yellow2,"(248, 143)"
2025-03-11 10:31:39.679,Scroll,Yellow2,"(246, 147)"
2025-03-11 10:31:39.831,Scroll,Yellow2,"(245, 150)"
2025-03-11 10:31:39.833,End Scroll,Yellow2,
2025-03-11 10:31:40.421,Start Window_Level,Yellow2,
2025-03-11 10:31:40.423,Window_Level,Yellow2,"(241, 169)"
